source_sheet_name,source_row_number,application_term,level,decision,school,parent_qa_requires_review,parent_qa_issue_count,record_index,property_type,property_location,property_lot_section_block_number,property_owned_shares,property_inherited,property_owned,property_area_raw,property_area,property_estimated_present_value_raw,property_estimated_present_value,property_estimated_value_currency_signal,property_estimated_value_currency_guess,property_mortgaged,property_is_mortgaged_flag,property_rented_income_raw,property_rented_income,property_planted_income_raw,property_planted_income,property_parse_method,property_review_flag,property_review_reasons,property_raw_block
Export,9,202510,Graduate,awarded,,1,2,3,House,Beirut Mousaitbeh,,,,,99,99.0,-,,,,no,0,300,300.0,,,property_section_key_value,1,unknown_labels; estimated_value_unparsed,"Type: House
Info: This year, the house is rented out, whereas previously it was vacant. All the necessary paperwork is in my uncle's possession, including the rent he collects, which he has yet to distribute.
Owned shares: 685
Location: Beirut Mousaitbeh
Lot, Section, Block Number: 335 Block A 13
Inherited: 24-2-2015
Area: 99
Estimated Present Value: -
Mortgaged: No
Rented: 300"
Export,9,202510,Graduate,awarded,,1,2,4,Business Premises,Beirut Mousaitbeh,,,,,15,15.0,-,,,,no,0,,,,,property_section_key_value,1,unknown_labels; estimated_value_unparsed,"Type: Business Premises
Info: old shop
Owned shares: 685
Location: Beirut Mousaitbeh
Lot, Section, Block Number: 335 block B 36
Inherited: 24-2-2015
Area: 15
Estimated Present Value: -
Mortgaged: No"
Export,10,202610,Undergraduate,awarded,"Al Azm School, Tripoli",0,0,1,Apartment,North Lebanon Zgharta,,,,,43,43.0,$30000,30000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: North Lebanon Zgharta
Lot, Section, Block Number: 98-7
Owned:
Area: 43
Estimated Present Value: $30000
Mortgaged: No"
Export,11,202610,Undergraduate,awarded,"Beirut Babptist School (BBS), Mouseitbeh",0,0,1,Apartment,Beirut Mousaitbeh,,,,,110,110.0,"40,000$",40000.0,usd,usd,no,0,"3,000",3000.0,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Beirut Mousaitbeh
Lot, Section, Block Number: 2421-24-A
Inherited: 2018
Owned: 2018
Area: 110
Estimated Present Value: 40,000$
Mortgaged: No
Rented: 3,000"
Export,11,202610,Undergraduate,awarded,"Beirut Babptist School (BBS), Mouseitbeh",0,0,2,Apartment,Beirut Mousaitbeh,,,,,93,93.0,"50,000$",50000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares: 2400
Location: Beirut Mousaitbeh
Lot, Section, Block Number: 1049-25
Owned:
Area: 93
Estimated Present Value: 50,000$
Mortgaged: No"
Export,12,202610,Undergraduate,awarded,"Lycee Hanaway, Tyre",0,0,1,House,Beirut Mazraa,,,,,80,80.0,40000,40000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: House
Info:
Owned shares:
Location: Beirut Mazraa
Lot, Section, Block Number: 1299/16
Owned:
Area: 80
Estimated Present Value: 40000
Mortgaged: No"
Export,13,202510,Graduate,awarded,,1,2,1,Apartment,Beirut Mazraa,,,,,60,60.0,$75000,75000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info: Apartment of 60 meters square consisting on 3 rooms, a kitchen and a bathroom
Owned shares: عقد بيع ممسوح
Location: Beirut Mazraa
Lot, Section, Block Number: رقم العقار: 1740 - القسم: 13- بلوك: B
Owned:
Area: 60
Estimated Present Value: $75000
Mortgaged: No"
Export,13,202510,Graduate,awarded,,1,2,2,Business Premises,Beirut Mazraa,,,,,15,15.0,$50000,50000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Business Premises
Info: Store
Owned shares: 2400
Location: Beirut Mazraa
Lot, Section, Block Number: Lot: 3904, Section: 5, Block:0
Owned:
Area: 15
Estimated Present Value: $50000
Mortgaged: No"
Export,14,202610,Undergraduate,awarded,"Lycee Des Arts, Hadath",0,0,1,Apartment,Mount-Lebanon Baabda,,,,,135,135.0,120000,120000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Baabda
Lot, Section, Block Number: 777-11-7
Owned:
Area: 135
Estimated Present Value: 120000
Mortgaged: No"
Export,14,202610,Undergraduate,awarded,"Lycee Des Arts, Hadath",0,0,2,Business Premises,Mount-Lebanon Baabda,,,,,65,65.0,80000,80000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Business Premises
Info:
Owned shares: 2400
Location: Mount-Lebanon Baabda
Lot, Section, Block Number: 4702-5-2
Owned:
Area: 65
Estimated Present Value: 80000
Mortgaged: No"
Export,14,202610,Undergraduate,awarded,"Lycee Des Arts, Hadath",0,0,3,Business Premises,Mount-Lebanon Baabda,,,,,86,86.0,75000,75000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Business Premises
Info:
Owned shares: 2400
Location: Mount-Lebanon Baabda
Lot, Section, Block Number: 1913-6-6
Owned:
Area: 86
Estimated Present Value: 75000
Mortgaged: No"
Export,15,202610,Undergraduate,denied,"Saints Coeurs Ain Najm, Ain Saadeh",0,0,1,House,Mount-Lebanon Matn,,,,,155,155.0,150000,150000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: House
Info:
Owned shares:
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 2755-10-noblocknumber
Owned:
Area: 155
Estimated Present Value: 150000
Mortgaged: No"
Export,15,202610,Undergraduate,denied,"Saints Coeurs Ain Najm, Ain Saadeh",0,0,2,Business Premises,Mount-Lebanon Matn,,,,,1000,1000.0,1million,1000000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Business Premises
Info:
Owned shares: 1200
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 130-undivided-none
Inherited: 28
Owned: 28
Area: 1000
Estimated Present Value: 1million
Mortgaged: No"
Export,15,202610,Undergraduate,denied,"Saints Coeurs Ain Najm, Ain Saadeh",0,0,3,Land,Mount-Lebanon Matn,,,,,800,800.0,1200000,1200000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 2400
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 67-none-none
Inherited: 8
Area: 800
Estimated Present Value: 1200000
Mortgaged: No
Planted - Income:"
Export,16,202610,Undergraduate,awarded,"Yeghishe Manoukian College, Maten",0,0,1,Apartment,Mount-Lebanon Matn,,,,,139,139.0,120000,120000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 1962/14
Owned:
Area: 139
Estimated Present Value: 120000
Mortgaged: No"
Export,17,202610,Undergraduate,awarded,"Amjad School, Choueifat",0,0,1,Apartment,Mount-Lebanon Aley,,,,,101,101.0,25000,25000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 1533-23-D
Owned:
Area: 101
Estimated Present Value: 25000
Mortgaged: No"
Export,18,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,1,Land,Mount-Lebanon Matn,,,,,992,992.0,80000,80000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares:
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 8536
Owned:
Area: 992
Estimated Present Value: 80000
Mortgaged: No"
Export,18,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,2,House,North Lebanon Koura,,,,,448,448.0,25000,25000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: House
Info:
Owned shares: 600
Location: North Lebanon Koura
Lot, Section, Block Number: 1051
Owned:
Area: 448
Estimated Present Value: 25000
Mortgaged: No"
Export,18,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,3,House,Mount-Lebanon Kesrouane,,,,,5000,5000.0,125000,125000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: House
Info:
Owned shares: 600
Location: Mount-Lebanon Kesrouane
Lot, Section, Block Number: 535
Owned:
Area: 5000
Estimated Present Value: 125000
Mortgaged: No"
Export,18,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,4,Land,Mount-Lebanon Kesrouane,,,,,100,100.0,2500,2500.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 600
Location: Mount-Lebanon Kesrouane
Lot, Section, Block Number: 521
Owned:
Area: 100
Estimated Present Value: 2500
Mortgaged: No"
Export,20,202610,Undergraduate,awarded,"College Notre Dame de Jamhour, Baabda",0,0,1,Apartment,Mount-Lebanon Baabda,,,,,134,134.0,"205,000 USD",205000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Baabda
Lot, Section, Block Number: 3220 - 8
Owned:
Area: 134
Estimated Present Value: 205,000 USD
Mortgaged: No"
Export,21,202610,Undergraduate,awarded,"College des Saints Coeurs Sioufi, Achrafieh",0,0,1,Apartment,Mount-Lebanon Matn,,,,,150,150.0,"60,000$",60000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 1548-16-x
Owned:
Area: 150
Estimated Present Value: 60,000$
Mortgaged: No"
Export,21,202610,Undergraduate,awarded,"College des Saints Coeurs Sioufi, Achrafieh",0,0,2,Land,South Lebanon Sour,,,,,"24,091",24091.0,x,,,,no,0,,,0,0.0,property_section_key_value,1,unknown_labels; estimated_value_unparsed,"Type: Land
Info:
Owned shares: 2400
Location: South Lebanon Sour
Lot, Section, Block Number: 1078-x-x
Inherited: 2005
Owned: 2005
Area: 24,091
Estimated Present Value: x
Mortgaged: No
Planted - Income: 0"
Export,21,202610,Undergraduate,awarded,"College des Saints Coeurs Sioufi, Achrafieh",0,0,3,Land,Mount-Lebanon Chouf,,,,,700,700.0,"50,000",50000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 1200
Location: Mount-Lebanon Chouf
Lot, Section, Block Number: 10-x-x
Inherited: 1979
Area: 700
Estimated Present Value: 50,000
Mortgaged: No
Planted - Income:"
Export,22,202610,Undergraduate,awarded,"Etablissement Sainte Anne des Soeurs de Besancon, Beirut",0,0,1,Apartment,Beirut Tariq El-Jdideh,,,,,91,91.0,70 000,70.0,,unknown,no,0,"6,000",6000.0,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Beirut Tariq El-Jdideh
Lot, Section, Block Number: 3790-5
Owned:
Area: 91
Estimated Present Value: 70 000
Mortgaged: No
Rented: 6,000"
Export,22,202610,Undergraduate,awarded,"Etablissement Sainte Anne des Soeurs de Besancon, Beirut",0,0,2,Apartment,Beirut Tariq El-Jdideh,,,,,149,149.0,150 000,150.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares: 1200
Location: Beirut Tariq El-Jdideh
Lot, Section, Block Number: 2247-6
Owned:
Area: 149
Estimated Present Value: 150 000
Mortgaged: No"
Export,23,202610,Undergraduate,awarded,"Islamic Culture School, Tarik El Jadidah",0,0,1,Apartment,Beirut Mazraa,,,,,106,106.0,"100,000$",100000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Beirut Mazraa
Lot, Section, Block Number: 4990-14/2
Owned:
Area: 106
Estimated Present Value: 100,000$
Mortgaged: No"
Export,24,202610,Undergraduate,,"College Mariste Champville, Antelias",1,1,1,Apartment,Mount-Lebanon Matn,,,,,260,260.0,"$390,000",390000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 629-23A
Owned:
Area: 260
Estimated Present Value: $390,000
Mortgaged: No"
Export,25,202610,Undergraduate,usaid,"College des Freres, Deddeh",0,0,1,Apartment,North Lebanon Zgharta,,,,,174,174.0,30000,30000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: North Lebanon Zgharta
Lot, Section, Block Number: 3797-9-A
Owned:
Area: 174
Estimated Present Value: 30000
Mortgaged: No"
Export,25,202610,Undergraduate,usaid,"College des Freres, Deddeh",0,0,2,Apartment,North Lebanon Zgharta,,,,,135,135.0,20000,20000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares: 2400
Location: North Lebanon Zgharta
Lot, Section, Block Number: 373-9-E
Owned:
Area: 135
Estimated Present Value: 20000
Mortgaged: No"
Export,25,202610,Undergraduate,usaid,"College des Freres, Deddeh",0,0,3,Business Premises,North Lebanon Zgharta,,,,,33,33.0,25000,25000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Business Premises
Info:
Owned shares: 2400
Location: North Lebanon Zgharta
Lot, Section, Block Number: 3792-7-C
Owned:
Area: 33
Estimated Present Value: 25000
Mortgaged: No"
Export,26,202610,Undergraduate,awarded,"Sagesse High School, Ain Saade",0,0,1,Apartment,Mount-Lebanon Matn,,,,,370,370.0,250000$,250000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 1393-18
Owned:
Area: 370
Estimated Present Value: 250000$
Mortgaged: No"
Export,26,202610,Undergraduate,awarded,"Sagesse High School, Ain Saade",0,0,2,Land,Mount-Lebanon Chouf,,,,,1200,1200.0,10790$,10790.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 2158
Location: Mount-Lebanon Chouf
Lot, Section, Block Number: 121
Owned:
Area: 1200
Estimated Present Value: 10790$
Mortgaged: No"
Export,26,202610,Undergraduate,awarded,"Sagesse High School, Ain Saade",0,0,3,Land,Mount-Lebanon Chouf,,,,,800,800.0,7200$,7200.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 2158
Location: Mount-Lebanon Chouf
Lot, Section, Block Number: 125
Owned:
Area: 800
Estimated Present Value: 7200$
Mortgaged: No
Planted - Income:"
Export,26,202610,Undergraduate,awarded,"Sagesse High School, Ain Saade",0,0,4,Land,Mount-Lebanon Chouf,,,,,3300,3300.0,5000$,5000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 360
Location: Mount-Lebanon Chouf
Lot, Section, Block Number: 123
Inherited: 2000
Area: 3300
Estimated Present Value: 5000$
Mortgaged: No"
