source_sheet_name,source_row_number,application_term,level,decision,school,parent_qa_requires_review,parent_qa_issue_count,record_index,loan_reason,loan_source,loan_mortgaged_asset,loan_start_date,loan_end_date,loan_total_amount_raw,loan_total_amount,loan_total_amount_currency_signal,loan_total_amount_currency_guess,loan_monthly_payment_raw,loan_monthly_payment,loan_remaining_balance_raw,loan_remaining_balance,loan_remaining_balance_is_duration_flag,loan_remaining_years_raw,loan_remaining_years,loan_parse_method,loan_review_flag,loan_review_reasons,loan_raw_block
Export,142,202610,Undergraduate,awarded,"Rafic Hariri High School (RHHS), Saida",0,0,1,Financial Distress,Lebanese Army,Nothing,2023-04-01,2027-04-01,480$,480.0,usd,usd,10$,10.0,290$,290.0,0,2.35,2.35,loan_section_key_value,0,,"Reason: Financial Distress
Source: Lebanese Army
Mortgaged Asset: Nothing
Start Date: 2023-04-01
End Date: 2027-04-01
Total Amount: 480$
Monthly Payment: 10$
Remaining Balance: 290$
Remaining Years: 2.35"
Export,151,202710,Undergraduate,awarded,"College Notre Dame de Jamhour, Baabda",1,1,1,housing loan,Etablissement publique de l'habitat,House,2003-03-05,2033-03-05,"117,000,000 lbp",117000000.0,lbp,lbp,"377,000 lbp",377000.0,"33,176,000",33176000.0,0,7,7.0,loan_section_key_value,0,,"Reason: housing loan
Source: Etablissement publique de l'habitat
Mortgaged Asset: House
Start Date: 2003-03-05
End Date: 2033-03-05
Total Amount: 117,000,000 lbp
Monthly Payment: 377,000 lbp
Remaining Balance: 33,176,000
Remaining Years: 7"
Export,155,202610,Undergraduate,awarded,"Amjad School, Choueifat",1,1,1,Sibling's Education,Uncle,0,2023-09-10,2029-09-10,12000,12000.0,,unknown,0,0.0,12000,12000.0,0,5,5.0,loan_section_key_value,0,,"Reason: Sibling's Education
Source: Uncle
Mortgaged Asset: 0
Start Date: 2023-09-10
End Date: 2029-09-10
Total Amount: 12000
Monthly Payment: 0
Remaining Balance: 12000
Remaining Years: 5"
Export,155,202610,Undergraduate,awarded,"Amjad School, Choueifat",1,1,2,Appartment,المؤسسة العامة للإسكان,House,2012-08-06,2027-08-06,195000000 lbp,195000000.0,lbp,lbp,1084000 lbp,1084000.0,18500000 lbp,18500000.0,0,3 years,3.0,loan_section_key_value,0,,"Reason: Appartment
Source: المؤسسة العامة للإسكان
Mortgaged Asset: House
Start Date: 2012-08-06
End Date: 2027-08-06
Total Amount: 195000000 lbp
Monthly Payment: 1084000 lbp
Remaining Balance: 18500000 lbp
Remaining Years: 3 years"
Export,169,202610,Undergraduate,denied,"Saint Mary's Orthodox College (SMOC), Beirut",1,1,1,Housing Loan,Banque de l'habitat,house,2016-01-23,2031-01-23,"150,000,000.-",150000000.0,,likely_lbp_unmarked,"1,300,000.-",1300000.0,"70,780,000",70780000.0,0,7,7.0,loan_section_key_value,0,,"Reason: Housing Loan
Source: Banque de l'habitat
Mortgaged Asset: house
Start Date: 2016-01-23
End Date: 2031-01-23
Total Amount: 150,000,000.-
Monthly Payment: 1,300,000.-
Remaining Balance: 70,780,000
Remaining Years: 7"
Export,173,202510,Graduate,awarded,,1,2,1,University,LAU,Degree,2023-02-01,2026-02-01,4500,4500.0,,unknown,300,300.0,4500,4500.0,0,3,3.0,loan_section_key_value,0,,"Reason: University
Source: LAU
Mortgaged Asset: Degree
Start Date: 2023-02-01
End Date: 2026-02-01
Total Amount: 4500
Monthly Payment: 300
Remaining Balance: 4500
Remaining Years: 3"
Export,179,202510,Undergraduate,denied,"Saint Joseph School Cornet Shehwan, Cornet Chahwan",0,0,1,For saving purposes,Riyad Bank,0,2024-02-27,2027-03-01,"100,000$",100000.0,usd,usd,"3,000$",3000.0,"100,000$",100000.0,0,3,3.0,loan_section_key_value,0,,"Reason: For saving purposes
Source: Riyad Bank
Mortgaged Asset: 0
Start Date: 2024-02-27
End Date: 2027-03-01
Total Amount: 100,000$
Monthly Payment: 3,000$
Remaining Balance: 100,000$
Remaining Years: 3"
Export,184,202710,Undergraduate,denied,"College des Soeurs Des Saints Coeurs (SSCC), Hadat",0,0,1,House,المؤسسة العامة للاسكان,yes,2010-02-01,2040-02-01,120000,120000.0,,unknown,0,0.0,667,667.0,0,15,15.0,loan_section_key_value,0,,"Reason: House
Source: المؤسسة العامة للاسكان
Mortgaged Asset: yes
Start Date: 2010-02-01
End Date: 2040-02-01
Total Amount: 120000
Monthly Payment: 0
Remaining Balance: 667
Remaining Years: 15"
Export,187,202610,Undergraduate,denied,"Brummana High School (BHS), Brummana",0,0,1,to buy raw material for the business,family,nothing,2022-08-20,2030-08-20,100 000$,100.0,usd,usd,1000$,1000.0,60 000$,60.0,0,5,5.0,loan_section_key_value,0,,"Reason: to buy raw material for the business
Source: family
Mortgaged Asset: nothing
Start Date: 2022-08-20
End Date: 2030-08-20
Total Amount: 100 000$
Monthly Payment: 1000$
Remaining Balance: 60 000$
Remaining Years: 5"
Export,196,202611,Graduate,denied,,1,2,1,Tuition Assistance,Quebec Financial Student Assistance (AFE),N/A,2019-09-01,2027-08-31,"29,450",29450.0,,unknown,250,250.0,"9,155",9155.0,0,3.5,3.5,loan_section_key_value,0,,"Reason: Tuition Assistance
Source: Quebec Financial Student Assistance (AFE)
Mortgaged Asset: N/A
Start Date: 2019-09-01
End Date: 2027-08-31
Total Amount: 29,450
Monthly Payment: 250
Remaining Balance: 9,155
Remaining Years: 3.5"
Export,199,202610,Undergraduate,awarded,"Jesus & Mary School, Rabweh",1,1,1,Appartment Purchase,Lebanese National Housing Corporation,Salaries as state officials,2012-08-18,2026-09-05,245000000 L.L.,245000000.0,lbp,lbp,1910000 L.L.,1910000.0,42009405 L.L.,42009405.0,0,2,2.0,loan_section_key_value,0,,"Reason: Appartment Purchase
Source: Lebanese National Housing Corporation
Mortgaged Asset: Salaries as state officials
Start Date: 2012-08-18
End Date: 2026-09-05
Total Amount: 245000000 L.L.
Monthly Payment: 1910000 L.L.
Remaining Balance: 42009405 L.L.
Remaining Years: 2"
Export,216,202610,Undergraduate,awarded,"Ecole Des Peres Antonin, Baabda",1,3,1,To help with tuitions and expensses.,LGB bank,no mortgaged asset,2024-10-01,2028-05-02,36950,36950.0,,unknown,850,850.0,33550,33550.0,0,3.5 years,3.5,loan_section_key_value,0,,"Reason: To help with tuitions and expensses.
Source: LGB bank
Mortgaged Asset: no mortgaged asset
Start Date: 2024-10-01
End Date: 2028-05-02
Total Amount: 36950
Monthly Payment: 850
Remaining Balance: 33550
Remaining Years: 3.5 years"
Export,216,202610,Undergraduate,awarded,"Ecole Des Peres Antonin, Baabda",1,3,2,To help with tuitions and expensses.,LGB bank,no mortgaged asset,2024-01-15,2026-12-15,1610000000 lgb,1610000000.0,,likely_lbp_unmarked,44750000 lbp,44750000.0,1028250000 lbp,1028250000.0,0,2 years,2.0,loan_section_key_value,0,,"Reason: To help with tuitions and expensses.
Source: LGB bank
Mortgaged Asset: no mortgaged asset
Start Date: 2024-01-15
End Date: 2026-12-15
Total Amount: 1610000000 lgb
Monthly Payment: 44750000 lbp
Remaining Balance: 1028250000 lbp
Remaining Years: 2 years"
Export,218,202710,Undergraduate,awarded,"College du Carmel Saint Joseph Mechref (CCSJ), Mechref",0,0,1,for university(my sister),Lau,none,2024-08-28,2027-04-29,3181,3181.0,,unknown,270,270.0,N/A,,0,2 years,2.0,loan_section_key_value,1,remaining_balance_unparsed,"Reason: for university(my sister)
Source: Lau
Mortgaged Asset: none
Start Date: 2024-08-28
End Date: 2027-04-29
Total Amount: 3181
Monthly Payment: 270
Remaining Balance: N/A
Remaining Years: 2 years"
Export,227,202710,Undergraduate,denied,"Etablissement Sainte Anne des Soeurs de Besancon, Beirut",0,0,1,اسكان,بنك بيروت و المؤسسة العامة للإسكان,yes,2010-03-30,2040-03-30,180 000 000 LPB,180.0,,unknown,1 000 000 LPB,1.0,0,0.0,0,15,15.0,loan_section_key_value,0,,"Reason: اسكان
Source: بنك بيروت و المؤسسة العامة للإسكان
Mortgaged Asset: yes
Start Date: 2010-03-30
End Date: 2040-03-30
Total Amount: 180 000 000 LPB
Monthly Payment: 1 000 000 LPB
Remaining Balance: 0
Remaining Years: 15"
Export,228,202610,Undergraduate,denied,Granada Hills Charter High School,0,0,1,House Payement,Bloom Bank,House,2013-10-10,2028-10-10,330000,330000.0,,unknown,2860,2860.0,170000,170000.0,0,4,4.0,loan_section_key_value,0,,"Reason: House Payement
Source: Bloom Bank
Mortgaged Asset: House
Start Date: 2013-10-10
End Date: 2028-10-10
Total Amount: 330000
Monthly Payment: 2860
Remaining Balance: 170000
Remaining Years: 4"
Export,230,202611,Professional,awarded,,1,2,1,Overdraft -Revolving Monthly,BDL - employer,Deducted from the salary,2016-01-01,2027-12-31,"8,100",8100.0,,unknown,to be deducted from end of indemnity services,,"7,912",7912.0,0,3 years,3.0,loan_section_key_value,1,monthly_payment_unparsed,"Reason: Overdraft -Revolving Monthly
Source: BDL - employer
Mortgaged Asset: Deducted from the salary
Start Date: 2016-01-01
End Date: 2027-12-31
Total Amount: 8,100
Monthly Payment: to be deducted from end of indemnity services
Remaining Balance: 7,912
Remaining Years: 3 years"
Export,230,202611,Professional,awarded,,1,2,2,Soicial loan,BDL,Backed by salary,2016-01-01,2027-12-31,16000,16000.0,,unknown,To be deducted from end of indemnity services,,1285,1285.0,0,3 years,3.0,loan_section_key_value,1,monthly_payment_unparsed,"Reason: Soicial loan
Source: BDL
Mortgaged Asset: Backed by salary
Start Date: 2016-01-01
End Date: 2027-12-31
Total Amount: 16000
Monthly Payment: To be deducted from end of indemnity services
Remaining Balance: 1285
Remaining Years: 3 years"
Export,230,202611,Professional,awarded,,1,2,3,social loans,bdl - employer,salary,2016-01-01,2025-12-31,16000,16000.0,,unknown,133,133.0,88,88.0,0,1,1.0,loan_section_key_value,0,,"Reason: social loans
Source: bdl - employer
Mortgaged Asset: salary
Start Date: 2016-01-01
End Date: 2025-12-31
Total Amount: 16000
Monthly Payment: 133
Remaining Balance: 88
Remaining Years: 1"
Export,232,202510,Graduate,awarded,,1,4,1,housing,lebanese army corporation for housing,house,2015-08-01,2040-07-01,252180000 L.L,252180000.0,lbp,lbp,840600 L.L,840600.0,113000000 L.L,113000000.0,0,16,16.0,loan_section_key_value,0,,"Reason: housing
Source: lebanese army corporation for housing
Mortgaged Asset: house
Start Date: 2015-08-01
End Date: 2040-07-01
Total Amount: 252180000 L.L
Monthly Payment: 840600 L.L
Remaining Balance: 113000000 L.L
Remaining Years: 16"
Export,235,202520,Undergraduate,awarded,"Ali Bin Abi Taleb School, Beirut",0,0,1,Economic reason,Housing bank,own house mortgaged,2008-01-05,2023-01-05,45000$,45000.0,usd,usd,300$,300.0,"45,000,000LPB",45000.0,0,14,14.0,loan_section_key_value,0,,"Reason: Economic reason
Source: Housing bank
Mortgaged Asset: own house mortgaged
Start Date: 2008-01-05
End Date: 2023-01-05
Total Amount: 45000$
Monthly Payment: 300$
Remaining Balance: 45,000,000LPB
Remaining Years: 14"
Export,240,202610,Undergraduate,awarded,"International College (IC), Beirut",0,0,1,Housing,BDL,House,2019-09-16,2036-12-31,13200,13200.0,,unknown,55,55.0,8830,8830.0,0,12,12.0,loan_section_key_value,0,,"Reason: Housing
Source: BDL
Mortgaged Asset: House
Start Date: 2019-09-16
End Date: 2036-12-31
Total Amount: 13200
Monthly Payment: 55
Remaining Balance: 8830
Remaining Years: 12"
Export,240,202610,Undergraduate,awarded,"International College (IC), Beirut",0,0,2,Social,BDL,No,2017-07-19,2027-07-01,300,300.0,,unknown,1,1.0,77,77.0,0,3,3.0,loan_section_key_value,0,,"Reason: Social
Source: BDL
Mortgaged Asset: No
Start Date: 2017-07-19
End Date: 2027-07-01
Total Amount: 300
Monthly Payment: 1
Remaining Balance: 77
Remaining Years: 3"
Export,242,202611,Professional,awarded,,1,3,1,Residential apartment,Bank,the same Residential apartment,2001-11-09,2031-11-09,102680000,102680000.0,,likely_lbp_unmarked,7,7.0,432,432.0,0,6,6.0,loan_section_key_value,0,,"Reason: Residential apartment
Source: Bank
Mortgaged Asset: the same Residential apartment
Start Date: 2001-11-09
End Date: 2031-11-09
Total Amount: 102680000
Monthly Payment: 7
Remaining Balance: 432
Remaining Years: 6"
Export,266,202610,Undergraduate,denied,International School Choueifat: Dubai,0,0,1,Personal Loan,Bank,None,2024-12-05,2028-11-05,"1,000,000",1000000.0,,unknown,"23,286.87",23286.87,"891,091.44",891091.44,0,3.5,3.5,loan_section_key_value,0,,"Reason: Personal Loan
Source: Bank
Mortgaged Asset: None
Start Date: 2024-12-05
End Date: 2028-11-05
Total Amount: 1,000,000
Monthly Payment: 23,286.87
Remaining Balance: 891,091.44
Remaining Years: 3.5"
Export,269,202610,Undergraduate,awarded,"Irfan High School Hasbaya, Hasbaya",0,0,1,Appartment,مؤسسة الاسكان,appartment,2013-06-05,2028-06-05,2000,2000.0,,unknown,11,11.0,500,500.0,0,3,3.0,loan_section_key_value,0,,"Reason: Appartment
Source: مؤسسة الاسكان
Mortgaged Asset: appartment
Start Date: 2013-06-05
End Date: 2028-06-05
Total Amount: 2000
Monthly Payment: 11
Remaining Balance: 500
Remaining Years: 3"
Export,285,202710,Undergraduate,denied,"Antonine International School (AIS), Ajaltoun",0,0,1,New House,BOB bank,Baouchrieh - 1395- 15,2013-07-11,2026-05-08,147000$,147000.0,usd,usd,1849500LBP,,14799000LBP,,0,9 months,9.0,loan_section_key_value,1,monthly_payment_unparsed; remaining_balance_unparsed,"Reason: New House
Source: BOB bank
Mortgaged Asset: Baouchrieh - 1395- 15
Start Date: 2013-07-11
End Date: 2026-05-08
Total Amount: 147000$
Monthly Payment: 1849500LBP
Remaining Balance: 14799000LBP
Remaining Years: 9 months"
Export,296,202520,Undergraduate,denied,,1,3,1,House Loan,Bank,1 bedroom apartment,2023-07-27,2038-08-05,118356,118356.0,,unknown,935.34,935.34,103390.56,103390.56,0,14,14.0,loan_section_key_value,0,,"Reason: House Loan
Source: Bank
Mortgaged Asset: 1 bedroom apartment
Start Date: 2023-07-27
End Date: 2038-08-05
Total Amount: 118356
Monthly Payment: 935.34
Remaining Balance: 103390.56
Remaining Years: 14"
