application_type_raw,application_type_clean,application_track,application_has_early_merit,application_type_inconsistent_flag,remaining_cap_50_rule_pct,level,application_term,nationality,applicant_citizenship,applicant_marital_status,applicant_plan_to_reside,father_status,father_employment_sector,father_position,father_employer_name,father_annual_income_from_work_status,father_work_status_benefits_total,father_self_employed_name,father_gross_income,father_net_income,father_ever_worked,father_unemployment_date,father_second_occupation_flag,father_job_info_clean,father_job_info_category,father_income_document,father_income_document_status,father_income_document_suspicious_flag,mother_status,mother_employment_sector,mother_position,mother_employer_name,mother_annual_income_from_work_status,mother_work_status_benefits_total,mother_self_employed_name,mother_gross_income,mother_net_income,mother_ever_worked,mother_unemployment_date,mother_second_occupation_flag,mother_job_info_clean,mother_job_info_category,mother_income_document,mother_income_document_status,siblings_at_aub_count,siblings_not_at_aub_count,siblings_other_total_tuition,siblings_other_total_financial_assistance,source_of_income_type,source_of_income_work_status,source_of_income_has_record,dependents_count,investments_count,investments_total_annual_profit,financial_assistants_count,financial_assistants_total_est_annual_amount,special_family_circumstances_category,special_family_circumstances_detail,loans_count,loans_total_amount,loans_total_monthly_payment,loans_total_remaining_balance,loans_max_remaining_years,properties_count,property_types,properties_total_area,properties_total_estimated_value,properties_mortgaged_count,properties_rented_income_total,properties_planted_income_total,cars_count,car_models,cars_mortgaged_count,travel_records_clean,travel_records_category,travel_records_missing_flag,certificate_ownership_clean,certificate_ownership_status,applicant_is_employed,applicant_position,spouse_citizenship,decision,over_and_above_decision,over_and_above_percentage_awarded,has_over_and_above,submission_date,need_pct,need_comment,merit_pct,merit_hist_pct,merit_comment,consent_to_share_information,bin_status,faid_missing_documents,faid_missing_documents_count,school,school_was_missing
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,United States,United States Lebanon,Single,With Relatives,Retired,"Armed Forces, 2000-04-01",,,,60799000.0,,,,,,0,,missing,3466.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssf,nssf,0.0,parsed,0,0,,,not_applicable,,0,0,0,,0,,sickness,My dad has stage IV lung cancer. He cannot work and is being treated with chemotherapy.,0,,,,,1,house,80.0,40000.0,0,,,1,"Infinity, QX4, 2001",0,0,none,0,,missing,0,,,awarded,no_o_a,,0,2025-01-18,50.0,Awarded 50% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"Lycee Hanaway, Tyre",0
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"N/A (School Bus), Lebanon",450.0,300.0,,,0,van driver,other,450.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssf,nssf,0.0,parsed,0,0,,,not_applicable,,0,2,0,,0,,none,,0,,,,,2,apartment; business premises,75.0,125000.0,0,,,9,"Honda, Civic, 1996; Yamaha, Champ, 1986; Honda, Dio, 2022; Mistubishi, L300, 1990; Haojue, 125, 2017; Suzuki, Adress V100, 1991; Daewoo, Damas, 1997; Haojue, 125, 2018; Toyota, Corolla, 2015",0,missing,other,1,OC: 1 apt in mazraa beirut,reported_ownership,0,,,awarded,no_o_a,,0,2024-05-31,15.0,Awarded 15% as per Committee Decision FA Fall 2024-25,,,,yes,awarded,General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام,1,"International College (IC), Beirut",1
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"N/A, Lebanon",16800.0,13200.0,,,0,taxi driver + renting 2 properties,other,16800.0,parsed,0,Unemployed,,Principle,Al Amir High school,,,,,,Yes,2022-08-01,0,nssf,nssf,0.0,parsed,0,1,2063.0,0.0,not_applicable,,0,0,0,,0,,none,,0,,,,,3,apartment; business premises,286.0,275000.0,0,,,2,"Hyudai, Elantra, 2016; Volkswagen, Caddy, 2007",0,low for all,low,0,OC: 1 apt in tripoli + 1 apt in hadath + 1 apt in shiyah + 1 apt in haret hreik + 1/2 land in baalbak,reported_ownership,0,,,awarded,no_o_a,,0,2024-10-16,25.0,Awarded 25% as per Committee Decision FA Fall 2025-26,0.0,30.0,Lost the 30%: Student did not confirm the Early Admission,yes,early_without_confirmation,,0,"Lycee Des Arts, Hadath",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"Georges Jammal Et Fils, Lebanon",29629.0,1893.0,,,1,"father owns 49% with 3 other partners ( most prob family ) + another bu, tax booklet 740Msiness 70%",tax_booklet,15491.0,parsed,0,Employed,Private Sector,Operational risk officier,Cedrus Bank,,-2500.0,,,,,,0,,missing,4390.0,parsed,0,0,,,not_applicable,,0,2,0,,0,,none,,0,,,,,3,business premises; house; land,1955.0,1350001.0,0,,,2,"Jeep, Cherokee, 2011; Mitsubishi, Pagero, 2012",0,,missing,1,,missing,0,,,denied,,,0,2024-11-20,0.0,Denied as per Committee Decision FA Fall 2025-26,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,denied,,0,"Saints Coeurs Ain Najm, Ain Saadeh",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,Office Assistant / Driver,DAI - TIF Project,27362.0,5251.0,,,,,,0,,missing,30000.0,parsed,0,Employed,Private Sector,Executive Assistant,Firefighters sal,,,,,,,,0,,missing,4300.0,parsed,0,0,,,not_applicable,,0,2,0,,0,,none,,0,,,,,1,apartment,139.0,120000.0,0,,,2,"Kia, Picanto, 2009; Honda, CRV, 2002",0,,missing,1,1 apt in naccash,reported_ownership,0,,,awarded,no_o_a,,0,2024-11-12,25.0,Awarded 25% as per Committee Decision FA Fall 2025-26,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,awarded,,0,"Yeghishe Manoukian College, Maten",0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Palestine,Lebanon,Single,Parents Home,Employed,Private Sector,Driver,Ghaith Yafi,8000.0,4000.0,,,,,,0,Driver at B&Y ventures,other,22000.0,parsed,0,Unemployed,,Secraetary,Nazek Kahil,,,,,,Yes,2006-11-01,0,nssf,nssf,0.0,parsed,0,0,,,not_applicable,,0,0,0,,1,3500.0,none,,0,,,,,1,apartment,101.0,25000.0,0,,,0,,0,0-low,low,0,OC: 1 apt in kobbeh aley,reported_ownership,0,,,awarded,no_o_a,,0,2024-11-12,15.0,Awarded 15% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,,0,"Amjad School, Choueifat",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon Czech Republic,Single,Parents Home,Employed,Private Sector,Deputy Head of Branches Network and Consumer Banking,BSL BANK SAL,10980.0,4000.0,,,,,,0,,missing,10866.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssf,nssf,0.0,parsed,0,1,17201.0,20.0,not_applicable,,0,0,0,,0,,none,,0,,,,,4,house; land,6540.0,232500.0,0,,,3,"Mercedes, ML350, 2003; Mercedes, ML350, 2006; Kia, Sportage, 2000",0,missing,other,1,missing,missing,0,,,denied,,,0,2024-12-29,0.0,Denied as per Committee Decision FA Fall 2025-26,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,denied,,0,"College Mariste Champville, Antelias",0
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Lebanon,Lebanon United States,Married,Rented Apartment,Employed,Public Sector,Medical Doctor,,21000.0,,,,,,,0,Husband; freelance in the event industry working for different companies on short term contract basis in saudi arabia,other,26124.0,parsed,0,,,,,,,,,,,,0,"Applicant: $27,260 was a Freelance event planner, lives in lebanon but works for saudi arabia",other,0.0,parsed,0,0,,,not_applicable,,0,2,0,,1,10800.0,"sickness, other",My husband's father has advanced Alzheirmers disease and requires 24/7 at home nursing care which my husband and his brother are paying for-1860 USD per month for two full time nurses. My husband's parents are both retired and lost their savings in the economic crisis and their retirement pay has been devalued and therefore they are financially reliant for all their needs on my husband and his brother. Supporting documents have been provided.,0,,,,,0,,,,0,,,2,"Volswagen, Golf, 2016; Seat, Ibiza, 2009",0,high for husband and applicant,high,0,OC applicant: 0; OC husband 0,zero_ownership,0,,Lebanon Lebanon,awarded,no_o_a,,0,2024-06-23,15.0,Awarded 15% as per Committee Decision FA Fall 2024-25,,,,yes,awarded,,0,"International College (IC), Beirut",1
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,,,,,,,,,,,,0,deceased,deceased,0.0,parsed,0,Employed,Public Sector,Civil servant,,,271.0,,,,,,0,,missing,3845.0,parsed,0,0,,,not_applicable,,0,1,0,,0,,other,Mother is a widow,0,,,,,1,apartment,134.0,205000.0,0,,,1,"Honda, Accord, 2002",0,"0 for applicant and mother, father is deceased.",none,0,1500/2400 in Hadath,reported_ownership,0,,,awarded,no_o_a,,0,2024-11-15,50.0,Awarded 50% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,,0,"College Notre Dame de Jamhour, Baabda",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"Institution of Naim Aoun, Lebanon",32000.0,21000.0,,,0,,missing,32000.0,parsed,0,Employed,Private Sector,School nurse,College Louise Wegmann,,1300.0,,,,,,0,,missing,6250.0,parsed,1,1,4500.0,,not_applicable,,0,0,0,,0,,none,,0,,,,,3,apartment; land,24941.0,110000.0,0,,0.0,2,"Mitsubishi, Montero, 2003; Mazda, Sedan, 2005",0,receipts-missing,receipt_only,1,OC: 7 apartments in Damour+1 apartment in Dekwene+1 apartment in Amchit+600/2400 apartment in Sin el fil+50% of 44 lands in sour + 1 land in sour+,reported_ownership,0,,,awarded,no_o_a,,0,2025-01-28,15.0,Awarded 15% as per Committee Decision FA Fall 2025-26,0.0,25.0,Lost the 25%: Student did not confirm the Regular,yes,awarded,General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام,1,"College des Saints Coeurs Sioufi, Achrafieh",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,25.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"0, Lebanon",0.0,0.0,,,0,no contact with father,no_contact,0.0,parsed,0,Self-Employed,,,,,,hanadi al abiad establishment,23000.0,8000.0,,,0,Rented Shop (internet games) (50-50% shares),other,13000.0,parsed,0,0,,,not_applicable,,0,0,0,,0,,other,"i haven't uploded any files regarding my father for the reason that he refuses to pay for any school or college fees and my mom is my financially responsable parent , i have attached papers regarding my parents' divorce and the paper that proves that my mom filed for قضية نفقة. Additionally, i have uploaded files in the ""other"" section to show that my mom's institution has changed street locations; the institution's location is displayed as Sidani street in Hamra on the business registration certificate but in fact my mom has moved from sidani street to Jeanne D'arc the first time and then she moved from Jeanne D'arc street to the current Mahatma Ghandi street the second time and the last 2 places are not legally mentioned on the certificate. As well, I would like to add that my mom changed the institution's location the first time because the owner didn't want to renew the contract for the reason that the owners wanted back their store; the second change of location was because the rent of its current location is better suited for my mom's economic situation. The institution kept on running during 2023 regardless of the fact that it wasn't making profits because my mom had already paid the first rent deposit for years 2021 to 2023 which was a big amount of money to benefit from extending the contract from 3 to 5 years and i attached the reciept of the rental fees. Finally, I attached the paper showing that my stepfather is a 50% partner since the beginning of the establishment of the institution in Sidani street. I also would like to mention that the institution rent contract in Mahatma Ghandi was registered only in 2024 because of covid-19 circumstances.Thank you for taking my familial circumstances in consideration.",0,,,,,2,apartment,240.0,220.0,0,6000.0,,1,"Chevrolet, Trail Blazer, 2002",0,0 for app and mother; missing for father,none,1,OC mother: 1/2 apt in beirut mazra3a + 1 apt in beirut mazra3a,reported_ownership,0,,,awarded,no_o_a,,0,2024-11-29,30.0,Awarded 30% as per Committee Decision FA Fall 2025-26,25.0,,Awarded 25% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,awarded,Form B - Self-Employed Income Statement - Father,1,"Etablissement Sainte Anne des Soeurs de Besancon, Beirut",0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,In charge in human resources,Association of islamic charitable projects,2795.0,,,,,,,0,,missing,4536.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF,nssf,0.0,parsed,0,1,2500.0,0.0,not_applicable,,0,0,0,,0,,none,,0,,,,,1,apartment,106.0,100000.0,0,,,1,"Honda, City, 2012",0,high for father; low for app and mother,high,0,missing,missing,0,,,awarded,no_o_a,,0,2024-10-26,50.0,Awarded 50% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,,0,"Islamic Culture School, Tarik El Jadidah",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Self-Employed,,,,,,"Ets. Elie Nazih Zakharia Saba, Lebanon",30000.0,24000.0,,,0,"Sole owner, Est Nazih zakharia saba, studio for song recording and composing",other,30000.0,parsed,0,Employed,Public Sector,Coordinator and Teacher of French Literature,,,4339.0,,,,,,0,MEHE,other,8000.0,parsed,0,1,3900.0,0.0,not_applicable,,0,0,0,,0,,none,,0,,,,,1,apartment,260.0,390000.0,0,,,2,"GMC, Yukon, 2007; Volkswagen, Tiguan, 2011",0,missing,other,1,missing,missing,0,,,,,,0,2024-12-04,0.0,,0.0,25.0,Lost the 25%: Student did not confirm the Regular,yes,incomplete,"Certificate of Ownership نفي ملكية
Recent Income Tax Statement from the Ministry of Finance - ضريبة دخل من وزارة المالية - Father (Ensure the tax booklet is for the last fiscal year)
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",3,"College Mariste Champville, Antelias",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,AUB Dorms,Retired,"Armed Forces, 2024-07-01",,,,7000.0,,,,,,0,,missing,2456.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF,nssf,0.0,parsed,0,3,4627.0,0.0,not_applicable,,0,1,0,,0,,none,,0,,,,,3,apartment; business premises,342.0,75000.0,0,,,2,"Bmw, 525 i, 1989; Nissan, Blue bird, 1996",0,0,none,0,OC: 1 apartment in aardat zgharta + 2 apartments in majdelya zgharta,reported_ownership,0,,,usaid,no_o_a,,0,2024-11-07,0.0,Awarded 25% as per Committee Decision FA Fall 2025-26,0.0,30.0,Lost the 30%: Student did not confirm the Early Admission,yes,awarded_without_sending_letter,,0,"College des Freres, Deddeh",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Employed,Public Sector,Chief Inspector,,12026.0,300.0,,,,,,0,customs,other,12000.0,parsed,0,Employed,Public Sector,Inspector,,,300.0,,,,,,0,customs,other,9000.0,parsed,0,3,15905.0,3874.835,not_applicable,,0,0,0,,0,,none,,0,,,,,6,apartment; land,6420.0,274165.0,0,,,3,"bmw, e60 530i, 2006; Toyota, Land Cruiser Prado, 2004; Toyota, Yaris, 2022",0,low for all,low,0,OC: 1 apt in jdeideh metn + 2 90% lands in breeh chouf,reported_ownership,0,,,awarded,no_o_a,,0,2024-10-17,25.0,Awarded 25% as per Committee Decision FA Fall 2025-26,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,awarded,,0,"Sagesse High School, Ain Saade",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202710,Lebanon,Lebanon,Single,AUB Dorms,Employed,Private Sector,Financial Advisor,RKonsult,12000.0,10500.0,,,,,,0,Rkonsult,other,12000.0,parsed,0,Unemployed,,Banker/Branch Manager,BankMed,,,,,,Yes,2022-08-12,0,nssf,nssf,0.0,parsed,0,1,3600.0,,not_applicable,,0,0,1,0.0,0,,none,,0,,,,,4,apartment; land,3466.0,384000.0,0,,,2,"Mercedes, SLK, 2005; Jeep, Cherokee, 2011",0,low,low,0,missing,missing,0,,,awarded,no_o_a,,0,2025-11-14,20.0,Awarded 20% as per Committee Decision FA Fall 2026-27,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,awarded,Certificate of Ownership نفي ملكية,1,"Rafic Hariri High School (RHHS), Saida",0
